doctorid,hospitalid,firstname,specialty,yearsofexperience
DR-0055,HOSP-001,Dr. Dhruv,Orthopedics,8.0
DR-0056,HOSP-007,Dr. Swati,Neurology,33.0
DR-0057,HOSP-010,Dr. Pooja,Gynecology,7.0
DR-0058,HOSP-005,Dr. Ansh,Orthopedics,10.0
DR-0059,HOSP-006,Dr. Karan,Orthopedics,29.0
DR-0060,HOSP-005,Dr. Saanvi,Neurology,17.0
DR-0061,HOSP-007,Dr. Aarti,Pediatrics,21.0
DR-0062,HOSP-001,Dr. Simran,Dermatology,12.0
DR-0063,HOSP-002,Dr. Anjali,Pediatrics,27.0
DR-0064,HOSP-006,Dr. Vivaan,Pediatrics,1.0
DR-0065,HOSP-007,Dr. Yash,Oncology,13.0
DR-0066,HOSP-008,Dr. Sanjay,Psychiatry,29.0
DR-0067,HOSP-004,Dr. Aarav,Orthopedics,9.0
DR-0068,HOSP-003,Dr. Ananya,Gynecology,5.0
DR-0069,HOSP-009,Dr. Shruti,Pediatrics,33.0
DR-0070,HOSP-002,Dr. Manish,Gynecology,33.0
DR-0071,HOSP-010,Dr. Isha,Pediatrics,33.0
DR-0072,HOSP-001,Dr. Yash,Oncology,14.0
DR-0073,HOSP-006,Dr. Amit,Orthopedics,24.0
DR-0074,HOSP-003,Dr. Dhruv,Pediatrics,18.0
DR-0075,HOSP-007,Dr. Advik,General Medicine,13.0
DR-0076,HOSP-008,Dr. Ishaan,Gynecology,33.0
DR-0077,HOSP-002,Dr. Pooja,Cardiology,12.0
DR-0078,HOSP-007,Dr. Aryan,Dermatology,21.0
DR-0079,HOSP-010,Dr. Arjun,Oncology,31.0
DR-0080,HOSP-005,Dr. Sai,Dermatology,32.0
DR-0081,HOSP-005,Dr. Ananya,Dermatology,33.0
DR-0082,HOSP-005,Dr. Geeta,Psychiatry,13.0
DR-0083,HOSP-005,Dr. Riya,Pediatrics,29.0
DR-0084,HOSP-010,Dr. Aadhya,Orthopedics,30.0
DR-0085,HOSP-005,Dr. Aditya,Cardiology,30.0
DR-0086,HOSP-007,Dr. Simran,Psychiatry,9.0
DR-0087,HOSP-008,Dr. Nandini,Neurology,6.0
DR-0088,HOSP-004,Dr. Yash,Psychiatry,4.0
DR-0089,HOSP-007,Dr. Dhruv,Dermatology,15.0
DR-0090,HOSP-009,Dr. Shruti,Psychiatry,11.0
DR-0091,HOSP-002,Dr. Kabir,Neurology,31.0
DR-0092,HOSP-009,Dr. Simran,Gynecology,28.0
DR-0093,HOSP-006,Dr. Raj,Gynecology,33.0
DR-0094,HOSP-009,Dr. Aarav,Orthopedics,33.0
DR-0095,HOSP-007,Dr. Tarun,Pediatrics,10.0
DR-0096,HOSP-005,Dr. Divya,Psychiatry,30.0
DR-0097,HOSP-005,Dr. Rahul,Cardiology,15.0
DR-0098,HOSP-001,Dr. Rohan,Orthopedics,1.0
DR-0099,HOSP-003,Dr. Riya,Gynecology,12.0
DR-0100,HOSP-006,Dr. Ishaan,Neurology,30.0
DR-0101,HOSP-002,Dr. Vikram,Orthopedics,5.0
DR-0102,HOSP-006,Dr. Nandini,Pediatrics,25.0
DR-0103,HOSP-005,Dr. Raj,Cardiology,24.0
DR-0104,HOSP-001,Dr. Vikram,Psychiatry,23.0
DR-0105,HOSP-003,Dr. Kabir,Psychiatry,31.0
DR-0106,HOSP-001,Dr. Pooja,Orthopedics,27.0
DR-0107,HOSP-007,Dr. Karan,General Medicine,19.0
DR-0108,HOSP-007,Dr. Isha,Neurology,33.0
DR-0109,HOSP-001,Dr. Riya,Dermatology,12.0
DR-0110,HOSP-008,Dr. Meera,General Medicine,23.0
DR-0111,HOSP-007,Dr. Tanya,Neurology,18.0
DR-0112,HOSP-003,Dr. Geeta,Oncology,12.0
DR-0113,HOSP-002,Dr. Karan,Oncology,21.0
DR-0114,HOSP-009,Dr. Sara,General Medicine,19.0
DR-0115,HOSP-007,Dr. Sneha,Oncology,17.0
DR-0116,HOSP-006,Dr. Ansh,Dermatology,33.0
DR-0117,HOSP-005,Dr. Kabir,General Medicine,9.0
DR-0118,HOSP-005,Dr. Kavya,Cardiology,6.0
DR-0119,HOSP-003,Dr. Priya,Neurology,20.0
DR-0120,HOSP-005,Dr. Simran,Psychiatry,8.0
DR-0121,HOSP-008,Dr. Anjali,Dermatology,18.0
DR-0122,HOSP-002,Dr. Roshni,Pediatrics,22.0
DR-0123,HOSP-003,Dr. Sanjay,Cardiology,18.0
DR-0124,HOSP-003,Dr. Sara,Dermatology,21.0
DR-0125,HOSP-006,Dr. Aryan,Cardiology,20.0
DR-0126,HOSP-001,Dr. Riya,Psychiatry,1.0
DR-0127,HOSP-005,Dr. Diya,Psychiatry,30.0
DR-0128,HOSP-009,Dr. Kavya,General Medicine,22.0
DR-0129,HOSP-001,Dr. Advik,Orthopedics,9.0
DR-0130,HOSP-006,Dr. Aryan,Cardiology,29.0
DR-0131,HOSP-007,Dr. Anjali,Neurology,18.0
DR-0132,HOSP-001,Dr. Swati,General Medicine,28.0
DR-0133,HOSP-006,Dr. Kavya,Neurology,9.0
DR-0134,HOSP-004,Dr. Rohan,Oncology,6.0
DR-0135,HOSP-004,Dr. Sara,Orthopedics,22.0
DR-0136,HOSP-006,Dr. Ananya,Gynecology,33.0
DR-0137,HOSP-010,Dr. Arjun,Psychiatry,2.0
DR-0138,HOSP-010,Dr. Sanjay,Cardiology,33.0
DR-0139,HOSP-008,Dr. Rahul,Orthopedics,7.0
DR-0140,HOSP-003,Dr. Nisha,Pediatrics,32.0
DR-0141,HOSP-007,Dr. Divya,Oncology,32.0
DR-0142,HOSP-010,Dr. Yash,Orthopedics,24.0
DR-0143,HOSP-004,Dr. Riya,Pediatrics,8.0
DR-0144,HOSP-003,Dr. Tanya,General Medicine,31.0
DR-0145,HOSP-003,Dr. Rahul,Pediatrics,33.0
DR-0146,HOSP-006,Dr. Yash,Orthopedics,20.0
DR-0147,HOSP-010,Dr. Rahul,Gynecology,8.0
DR-0148,HOSP-008,Dr. Shruti,Dermatology,7.0
DR-0149,HOSP-001,Dr. Yash,Neurology,29.0
DR-0150,HOSP-004,Dr. Advik,Oncology,33.0
DR-0151,HOSP-001,Dr. Tarun,Psychiatry,22.0
DR-0152,HOSP-008,Dr. Aadhya,Cardiology,6.0
DR-0153,HOSP-005,Dr. Avni,Dermatology,12.0
DR-0154,HOSP-003,Dr. Ansh,Oncology,28.0
DR-0155,HOSP-008,Dr. Swati,Pediatrics,26.0
DR-0156,HOSP-009,Dr. Rahul,Oncology,9.0
DR-0157,HOSP-005,Dr. Sneha,Psychiatry,27.0
DR-0158,HOSP-001,Dr. Divya,General Medicine,33.0
DR-0159,HOSP-006,Dr. Amit,General Medicine,28.0
DR-0160,HOSP-005,Dr. Vikram,Orthopedics,32.0
DR-0161,HOSP-006,Dr. Kunal,Psychiatry,33.0
DR-0162,HOSP-004,Dr. Aryan,Orthopedics,32.0
DR-0163,HOSP-007,Dr. Neha,General Medicine,10.0
DR-0164,HOSP-005,Dr. Sai,Cardiology,33.0
DR-0165,HOSP-007,Dr. Sneha,Gynecology,18.0
DR-0166,HOSP-010,Dr. Karan,Dermatology,33.0
DR-0167,HOSP-002,Dr. Aditya,Dermatology,24.0
DR-0168,HOSP-003,Dr. Karan,Cardiology,24.0
DR-0169,HOSP-001,Dr. Sanjay,Cardiology,30.0
DR-0170,HOSP-003,Dr. Anjali,Gynecology,27.0
DR-0171,HOSP-008,Dr. Meera,Cardiology,30.0
DR-0172,HOSP-005,Dr. Arjun,General Medicine,4.0
DR-0173,HOSP-009,Dr. Dhruv,Pediatrics,27.0
DR-0174,HOSP-001,Dr. Sara,Orthopedics,3.0
DR-0175,HOSP-005,Dr. Rohan,Cardiology,6.0
DR-0176,HOSP-002,Dr. Karan,Dermatology,7.0
DR-0177,HOSP-008,Dr. Kabir,Orthopedics,21.0
DR-0178,HOSP-002,Dr. Geeta,Pediatrics,7.0
DR-0179,HOSP-009,Dr. Pooja,Pediatrics,2.0
DR-0180,HOSP-006,Dr. Divya,Cardiology,9.0
DR-0181,HOSP-010,Dr. Isha,Cardiology,3.0
DR-0182,HOSP-009,Dr. Aarav,Pediatrics,15.0
DR-0183,HOSP-002,Dr. Riya,Oncology,33.0
DR-0184,HOSP-009,Dr. Aryan,Oncology,21.0
DR-0185,HOSP-004,Dr. Rahul,Pediatrics,17.0
DR-0186,HOSP-003,Dr. Anjali,Oncology,6.0
DR-0187,HOSP-004,Dr. Geeta,Neurology,15.0
DR-0188,HOSP-008,Dr. Aarti,Pediatrics,12.0
DR-0189,HOSP-007,Dr. Avni,Pediatrics,33.0
DR-0190,HOSP-006,Dr. Roshni,General Medicine,10.0
DR-0191,HOSP-001,Dr. Sara,Cardiology,6.0
DR-0192,HOSP-002,Dr. Rishabh,Orthopedics,33.0
DR-0193,HOSP-010,Dr. Aryan,Orthopedics,13.0
DR-0194,HOSP-002,Dr. Dhruv,Pediatrics,2.0
DR-0195,HOSP-008,Dr. Aarav,Orthopedics,18.0
DR-0196,HOSP-005,Dr. Anjali,Oncology,17.0
DR-0197,HOSP-005,Dr. Aarti,Neurology,33.0
DR-0198,HOSP-006,Dr. Amit,General Medicine,8.0
DR-0199,HOSP-003,Dr. Geeta,Oncology,29.0
DR-0200,HOSP-002,Dr. Swati,Psychiatry,6.0
DR-0201,HOSP-003,Dr. Roshni,Cardiology,15.0
DR-0202,HOSP-005,Dr. Dhruv,Orthopedics,31.0
DR-0203,HOSP-010,Dr. Neha,Gynecology,30.0
DR-0204,HOSP-009,Dr. Meera,Dermatology,20.0
DR-0205,HOSP-005,Dr. Riya,General Medicine,26.0
DR-0206,HOSP-006,Dr. Pooja,Psychiatry,20.0
DR-0207,HOSP-010,Dr. Amit,Dermatology,24.0
DR-0208,HOSP-003,Dr. Kabir,Cardiology,16.0
DR-0209,HOSP-005,Dr. Aarti,Cardiology,4.0
DR-0210,HOSP-004,Dr. Raj,Dermatology,33.0
DR-0211,HOSP-007,Dr. Ansh,Psychiatry,3.0
DR-0212,HOSP-008,Dr. Saanvi,Psychiatry,3.0
DR-0213,HOSP-001,Dr. Nandini,Oncology,33.0
DR-0214,HOSP-003,Dr. Vikram,Gynecology,1.0
DR-0215,HOSP-009,Dr. Saanvi,General Medicine,12.0
DR-0216,HOSP-001,Dr. Priya,Pediatrics,19.0
DR-0217,HOSP-008,Dr. Sneha,Dermatology,33.0
DR-0218,HOSP-002,Dr. Manish,Orthopedics,5.0
DR-0219,HOSP-010,Dr. Tanya,Gynecology,33.0
DR-0220,HOSP-010,Dr. Vikram,Oncology,10.0
DR-0221,HOSP-005,Dr. Shruti,Dermatology,10.0
DR-0222,HOSP-003,Dr. Pooja,Oncology,33.0
DR-0223,HOSP-007,Dr. Ananya,Neurology,33.0
DR-0224,HOSP-002,Dr. Manish,General Medicine,33.0
DR-0225,HOSP-008,Dr. Riya,Pediatrics,25.0
DR-0226,HOSP-001,Dr. Swati,Orthopedics,31.0
DR-0227,HOSP-006,Dr. Vikram,Oncology,33.0
DR-0228,HOSP-003,Dr. Karan,General Medicine,19.0
DR-0229,HOSP-001,Dr. Riya,Orthopedics,7.0
DR-0230,HOSP-010,Dr. Karan,Oncology,9.0
DR-0231,HOSP-001,Dr. Aarav,Pediatrics,25.0
DR-0232,HOSP-003,Dr. Advik,Gynecology,23.0
DR-0233,HOSP-006,Dr. Aadhya,Cardiology,13.0
DR-0234,HOSP-007,Dr. Rishabh,Orthopedics,11.0
DR-0235,HOSP-004,Dr. Saanvi,General Medicine,33.0
DR-0236,HOSP-003,Dr. Sara,Neurology,24.0
DR-0237,HOSP-003,Dr. Arjun,Psychiatry,33.0
DR-0238,HOSP-004,Dr. Manish,Cardiology,15.0
DR-0239,HOSP-003,Dr. Nandini,Pediatrics,11.0
DR-0240,HOSP-004,Dr. Ishaan,Pediatrics,19.0
DR-0241,HOSP-006,Dr. Kareena,Neurology,28.0
DR-0242,HOSP-009,Dr. Pooja,Cardiology,33.0
DR-0243,HOSP-010,Dr. Kunal,Cardiology,14.0
DR-0244,HOSP-010,Dr. Kabir,General Medicine,7.0
DR-0245,HOSP-007,Dr. Nisha,Cardiology,32.0
DR-0246,HOSP-007,Dr. Anjali,Pediatrics,1.0
DR-0247,HOSP-007,Dr. Tanya,Pediatrics,22.0
DR-0248,HOSP-005,Dr. Ananya,Pediatrics,33.0
DR-0249,HOSP-007,Dr. Arjun,General Medicine,12.0
DR-0250,HOSP-008,Dr. Karan,Neurology,29.0
DR-0251,HOSP-007,Dr. Aadhya,Orthopedics,33.0
DR-0252,HOSP-003,Dr. Priya,Gynecology,33.0
DR-0253,HOSP-010,Dr. Nisha,Psychiatry,22.0
DR-0254,HOSP-009,Dr. Arjun,General Medicine,6.0
DR-0255,HOSP-010,Dr. Priya,General Medicine,31.0
DR-0256,HOSP-006,Dr. Swati,Psychiatry,20.0
DR-0257,HOSP-008,Dr. Sneha,Dermatology,16.0
DR-0258,HOSP-006,Dr. Ansh,Dermatology,33.0
DR-0259,HOSP-004,Dr. Tarun,General Medicine,11.0
DR-0260,HOSP-001,Dr. Roshni,Pediatrics,33.0
DR-0261,HOSP-007,Dr. Tarun,Orthopedics,33.0
DR-0262,HOSP-008,Dr. Anjali,Pediatrics,33.0
DR-0263,HOSP-004,Dr. Kunal,Orthopedics,28.0
DR-0264,HOSP-009,Dr. Isha,Oncology,6.0
DR-0265,HOSP-008,Dr. Vihaan,Orthopedics,1.0
DR-0266,HOSP-010,Dr. Simran,Orthopedics,33.0
DR-0267,HOSP-002,Dr. Anjali,Cardiology,22.0
DR-0268,HOSP-010,Dr. Swati,Psychiatry,33.0
DR-0269,HOSP-008,Dr. Meera,General Medicine,18.0
DR-0270,HOSP-004,Dr. Nisha,Cardiology,33.0
DR-0271,HOSP-010,Dr. Vihaan,Pediatrics,29.0
DR-0272,HOSP-009,Dr. Sara,Orthopedics,33.0
DR-0273,HOSP-003,Dr. Karan,Gynecology,2.0
DR-0274,HOSP-003,Dr. Priya,Oncology,1.0
DR-0275,HOSP-007,Dr. Divya,Dermatology,6.0
DR-0276,HOSP-008,Dr. Dhruv,Dermatology,27.0
DR-0277,HOSP-006,Dr. Aadhya,Dermatology,15.0
DR-0278,HOSP-006,Dr. Avni,General Medicine,14.0
DR-0279,HOSP-010,Dr. Nandini,Orthopedics,32.0
DR-0280,HOSP-008,Dr. Shruti,Pediatrics,11.0
DR-0281,HOSP-010,Dr. Rahul,Gynecology,5.0
DR-0282,HOSP-010,Dr. Kavya,Dermatology,19.0
DR-0283,HOSP-002,Dr. Sara,Psychiatry,27.0
DR-0284,HOSP-005,Dr. Vihaan,General Medicine,1.0
DR-0285,HOSP-002,Dr. Ansh,Pediatrics,33.0
DR-0286,HOSP-003,Dr. Yash,Gynecology,31.0
DR-0287,HOSP-007,Dr. Sneha,Pediatrics,29.0
DR-0288,HOSP-001,Dr. Amit,Orthopedics,33.0
DR-0289,HOSP-004,Dr. Divya,Pediatrics,1.0
DR-0290,HOSP-007,Dr. Avni,Dermatology,27.0
DR-0291,HOSP-005,Dr. Raj,Dermatology,7.0
DR-0292,HOSP-005,Dr. Kareena,Oncology,31.0
DR-0293,HOSP-003,Dr. Dhruv,Dermatology,29.0
DR-0294,HOSP-008,Dr. Priya,Pediatrics,33.0
DR-0295,HOSP-003,Dr. Aarti,Orthopedics,3.0
DR-0296,HOSP-007,Dr. Ansh,Gynecology,2.0
DR-0297,HOSP-001,Dr. Pooja,Oncology,9.0
DR-0298,HOSP-003,Dr. Pooja,Oncology,33.0
DR-0299,HOSP-001,Dr. Divya,Neurology,30.0
DR-0300,HOSP-004,Dr. Ishaan,Neurology,14.0
DR-0301,HOSP-003,Dr. Sara,General Medicine,20.0
DR-0302,HOSP-009,Dr. Arjun,Orthopedics,14.0
DR-0303,HOSP-002,Dr. Ansh,Orthopedics,22.0
DR-0304,HOSP-005,Dr. Ansh,Psychiatry,27.0
DR-0305,HOSP-010,Dr. Anjali,Psychiatry,15.0
DR-0306,HOSP-003,Dr. Anjali,Cardiology,26.0
DR-0307,HOSP-003,Dr. Kunal,Oncology,15.0
DR-0308,HOSP-005,Dr. Aarav,Neurology,31.0
DR-0309,HOSP-002,Dr. Pooja,General Medicine,11.0
DR-0310,HOSP-005,Dr. Kavya,Neurology,14.0
DR-0311,HOSP-003,Dr. Ishaan,Oncology,4.0
DR-0312,HOSP-002,Dr. Diya,Psychiatry,33.0
DR-0313,HOSP-005,Dr. Karan,Gynecology,32.0
DR-0314,HOSP-003,Dr. Priya,Cardiology,33.0
DR-0315,HOSP-008,Dr. Rahul,Oncology,32.0
DR-0316,HOSP-002,Dr. Manish,Neurology,14.0
DR-0317,HOSP-007,Dr. Raj,Neurology,33.0
DR-0318,HOSP-008,Dr. Tanya,Orthopedics,3.0
DR-0319,HOSP-007,Dr. Neha,Dermatology,33.0
DR-0320,HOSP-002,Dr. Sneha,Gynecology,23.0
DR-0321,HOSP-009,Dr. Ananya,Pediatrics,33.0
DR-0322,HOSP-010,Dr. Nisha,Orthopedics,22.0
DR-0323,HOSP-006,Dr. Advik,Cardiology,1.0
DR-0324,HOSP-009,Dr. Vikram,Pediatrics,33.0
DR-0325,HOSP-003,Dr. Swati,Dermatology,14.0
DR-0326,HOSP-009,Dr. Priya,Cardiology,17.0
DR-0327,HOSP-003,Dr. Ansh,Neurology,15.0
DR-0328,HOSP-003,Dr. Saanvi,Neurology,27.0
DR-0329,HOSP-008,Dr. Rishabh,Psychiatry,17.0
DR-0330,HOSP-006,Dr. Ishaan,Cardiology,2.0
DR-0331,HOSP-001,Dr. Vivaan,Oncology,25.0
DR-0332,HOSP-002,Dr. Aarav,Pediatrics,8.0
DR-0333,HOSP-010,Dr. Diya,Psychiatry,10.0
DR-0334,HOSP-008,Dr. Kareena,Oncology,28.0
DR-0335,HOSP-007,Dr. Vivaan,Psychiatry,33.0
DR-0336,HOSP-008,Dr. Geeta,Neurology,33.0
DR-0337,HOSP-008,Dr. Saanvi,Neurology,16.0
DR-0338,HOSP-006,Dr. Rohan,Oncology,17.0
DR-0339,HOSP-007,Dr. Manish,Neurology,1.0
DR-0340,HOSP-006,Dr. Divya,Pediatrics,22.0
DR-0341,HOSP-001,Dr. Vivaan,Pediatrics,4.0
DR-0342,HOSP-005,Dr. Aryan,General Medicine,27.0
DR-0343,HOSP-010,Dr. Sai,Gynecology,33.0
DR-0344,HOSP-001,Dr. Nandini,Cardiology,21.0
DR-0345,HOSP-002,Dr. Swati,General Medicine,11.0
DR-0346,HOSP-005,Dr. Anjali,Gynecology,31.0
DR-0347,HOSP-002,Dr. Kunal,Orthopedics,4.0
DR-0348,HOSP-004,Dr. Aadhya,Orthopedics,23.0
DR-0349,HOSP-003,Dr. Simran,Dermatology,33.0
DR-0350,HOSP-009,Dr. Meera,Pediatrics,33.0
