admissionid,patientid,doctorid,hospitalid,admissiondate,dischargedate,diagnosis,department,admissiondays,stay_category
ADM-000017,583-57-2679,DR-0296,HOSP-007,2023-01-10,2023-01-18,Pregnancy,Gynecology,8,Medium Treatment
ADM-000018,865-41-3524,DR-0339,HOSP-007,2022-05-04,2022-05-09,Parkinsons,Neurology,5,Medium Treatment
ADM-000019,155-29-3250,DR-0076,HOSP-008,2024-04-06,2024-04-27,Pregnancy,Gynecology,21,Long Treatment
ADM-000020,777-61-1173,DR-0292,HOSP-005,2023-08-31,2023-09-10,Leukemia,Oncology,10,Medium Treatment
ADM-000021,485-90-8045,DR-0153,HOSP-005,2024-02-10,2024-02-11,Eczema,Dermatology,1,Short Treatment
ADM-000022,499-88-8326,DR-0061,HOSP-007,2022-04-02,2022-04-07,Tonsillitis,Pediatrics,5,Medium Treatment
ADM-000023,997-80-7767,DR-0180,HOSP-006,2022-12-19,2022-12-24,Heart Failure,Cardiology,5,Medium Treatment
ADM-000024,209-64-7187,DR-0126,HOSP-001,2023-05-15,2023-06-06,Depression,Psychiatry,22,Long Treatment
ADM-000025,317-52-8023,DR-0262,HOSP-008,2023-07-03,2023-07-19,Measles,Pediatrics,16,Long Treatment
ADM-000026,230-94-4028,DR-0014,HOSP-008,2022-04-11,2022-04-21,Bipolar Disorder,Psychiatry,10,Medium Treatment
ADM-000027,467-54-5333,DR-0007,HOSP-003,2022-12-23,2023-01-06,Bipolar Disorder,Psychiatry,14,Medium Treatment
ADM-000028,850-58-4720,DR-0218,HOSP-002,2023-10-29,2023-11-06,Ligament Tear,Orthopedics,8,Medium Treatment
ADM-000029,364-62-7357,DR-0162,HOSP-004,2022-02-15,2022-03-03,Fracture,Orthopedics,16,Long Treatment
ADM-000030,973-56-8304,DR-0036,HOSP-002,2023-10-09,2023-10-18,Arrhythmia,Cardiology,9,Medium Treatment
ADM-000031,792-69-5014,DR-0119,HOSP-003,2023-10-18,2023-11-09,Alzheimers,Neurology,22,Long Treatment
ADM-000032,707-58-2357,DR-0051,HOSP-008,2022-07-19,2022-08-13,Lymphoma,Oncology,25,Long Treatment
ADM-000033,564-90-5412,DR-0075,HOSP-007,2023-12-22,2024-01-03,Viral Fever,General Medicine,12,Medium Treatment
ADM-000034,642-17-7645,DR-0209,HOSP-005,2022-09-19,2022-09-27,Hypertension,Cardiology,8,Medium Treatment
ADM-000035,267-13-2924,DR-0107,HOSP-007,2022-09-03,2022-09-14,Pneumonia,General Medicine,11,Medium Treatment
ADM-000036,950-17-8766,DR-0233,HOSP-006,2024-01-30,2024-02-08,Myocardial Infarction,Cardiology,9,Medium Treatment
ADM-000037,692-93-9342,DR-0159,HOSP-006,2024-01-29,2024-02-04,Diabetes,General Medicine,6,Medium Treatment
ADM-000038,763-67-4353,DR-0126,HOSP-001,2022-06-06,2022-06-28,Schizophrenia,Psychiatry,22,Long Treatment
ADM-000039,855-40-1670,DR-0338,HOSP-006,2023-04-15,2023-05-10,Lymphoma,Oncology,25,Long Treatment
ADM-000040,944-89-7506,DR-0244,HOSP-010,2023-02-01,2023-02-03,Viral Fever,General Medicine,2,Short Treatment
ADM-000041,143-59-3910,DR-0189,HOSP-007,2023-09-18,2023-10-04,Measles,Pediatrics,16,Long Treatment
ADM-000042,208-89-3996,DR-0154,HOSP-003,2024-03-12,2024-04-06,Leukemia,Oncology,25,Long Treatment
ADM-000043,479-50-9029,DR-0343,HOSP-010,2023-08-13,2023-08-16,Ovarian Cyst,Gynecology,3,Short Treatment
ADM-000044,925-33-9632,DR-0008,HOSP-002,2023-01-25,2023-01-29,Tonsillitis,Pediatrics,4,Short Treatment
ADM-000045,393-41-3701,DR-0151,HOSP-001,2022-08-20,2022-09-01,Depression,Psychiatry,12,Medium Treatment
ADM-000046,461-18-6996,DR-0223,HOSP-007,2023-01-13,2023-01-17,Epilepsy,Neurology,4,Short Treatment
ADM-000047,442-61-9786,DR-0022,HOSP-007,2022-04-09,2022-04-27,Melanoma,Dermatology,18,Long Treatment
ADM-000048,270-52-1745,DR-0169,HOSP-001,2023-09-30,2023-10-10,Heart Failure,Cardiology,10,Medium Treatment
ADM-000049,206-57-4176,DR-0081,HOSP-005,2022-03-01,2022-03-11,Acne Vulgaris,Dermatology,10,Medium Treatment
ADM-000050,965-65-3136,DR-0185,HOSP-004,2022-12-10,2022-12-24,Asthma,Pediatrics,14,Medium Treatment
ADM-000051,779-34-6973,DR-0091,HOSP-002,2023-07-20,2023-07-29,Alzheimers,Neurology,9,Medium Treatment
ADM-000052,868-48-9119,DR-0287,HOSP-007,2023-07-31,2023-08-12,Measles,Pediatrics,12,Medium Treatment
ADM-000053,379-29-3580,DR-0273,HOSP-003,2023-11-18,2023-11-27,Endometriosis,Gynecology,9,Medium Treatment
ADM-000054,785-90-6460,DR-0017,HOSP-003,2023-01-22,2023-02-15,Lymphoma,Oncology,24,Long Treatment
ADM-000055,945-68-9231,DR-0108,HOSP-007,2023-04-19,2023-05-01,Epilepsy,Neurology,12,Medium Treatment
ADM-000056,885-21-8500,DR-0267,HOSP-002,2023-03-15,2023-04-09,Heart Failure,Cardiology,25,Long Treatment
ADM-000057,462-72-1688,DR-0212,HOSP-008,2022-06-14,2022-06-22,Schizophrenia,Psychiatry,8,Medium Treatment
ADM-000058,635-67-7750,DR-0060,HOSP-005,2022-01-18,2022-01-20,Stroke,Neurology,2,Short Treatment
ADM-000059,894-19-8366,DR-0004,HOSP-010,2024-02-12,2024-03-06,Breast Cancer,Oncology,23,Long Treatment
ADM-000060,985-75-9471,DR-0058,HOSP-005,2022-05-17,2022-05-23,Fracture,Orthopedics,6,Medium Treatment
ADM-000061,389-99-4196,DR-0328,HOSP-003,2022-10-28,2022-10-29,Stroke,Neurology,1,Short Treatment
ADM-000062,281-59-4741,DR-0244,HOSP-010,2023-01-01,2023-01-02,Food Poisoning,General Medicine,1,Short Treatment
ADM-000063,277-83-2853,DR-0036,HOSP-002,2023-03-17,2023-03-23,Coronary Artery Disease,Cardiology,6,Medium Treatment
ADM-000064,682-32-4843,DR-0299,HOSP-001,2024-01-06,2024-01-15,Migraine,Neurology,9,Medium Treatment
ADM-000065,402-98-8285,DR-0083,HOSP-005,2022-01-24,2022-01-28,Chickenpox,Pediatrics,4,Short Treatment
ADM-000066,943-46-3631,DR-0276,HOSP-008,2024-02-03,2024-02-07,Acne Vulgaris,Dermatology,4,Short Treatment
ADM-000067,587-12-1701,DR-0005,HOSP-010,2022-05-20,2022-06-14,Migraine,Neurology,25,Long Treatment
ADM-000068,351-58-1206,DR-0242,HOSP-009,2022-02-13,2022-03-04,Hypertension,Cardiology,19,Long Treatment
ADM-000069,280-86-5520,DR-0342,HOSP-005,2022-08-16,2022-08-25,Diabetes,General Medicine,9,Medium Treatment
ADM-000070,110-22-7179,DR-0026,HOSP-001,2022-07-11,2022-07-12,Coronary Artery Disease,Cardiology,1,Short Treatment
ADM-000071,763-24-6052,DR-0178,HOSP-002,2022-05-21,2022-05-31,Asthma,Pediatrics,10,Medium Treatment
ADM-000072,108-52-5148,DR-0074,HOSP-003,2023-11-21,2023-12-11,Tonsillitis,Pediatrics,20,Long Treatment
ADM-000073,232-77-2216,DR-0088,HOSP-004,2023-11-01,2023-11-13,Bipolar Disorder,Psychiatry,12,Medium Treatment
ADM-000074,136-50-6901,DR-0052,HOSP-005,2023-04-12,2023-05-06,Bipolar Disorder,Psychiatry,24,Long Treatment
ADM-000075,145-64-9763,DR-0228,HOSP-003,2022-08-05,2022-08-15,Viral Fever,General Medicine,10,Medium Treatment
ADM-000076,205-27-4087,DR-0061,HOSP-007,2023-11-17,2023-12-10,Chickenpox,Pediatrics,23,Long Treatment
ADM-000077,178-40-9885,DR-0119,HOSP-003,2023-04-02,2023-04-07,Migraine,Neurology,5,Medium Treatment
ADM-000078,634-81-6714,DR-0089,HOSP-007,2022-02-10,2022-03-05,Acne Vulgaris,Dermatology,23,Long Treatment
ADM-000079,924-62-7247,DR-0234,HOSP-007,2022-08-20,2022-08-31,Ligament Tear,Orthopedics,11,Medium Treatment
ADM-000080,977-83-7232,DR-0015,HOSP-005,2022-04-12,2022-05-03,Psoriasis,Dermatology,21,Long Treatment
ADM-000081,379-99-9908,DR-0181,HOSP-010,2023-02-04,2023-02-28,Heart Failure,Cardiology,24,Long Treatment
ADM-000082,699-20-5764,DR-0236,HOSP-003,2023-05-29,2023-06-13,Alzheimers,Neurology,15,Long Treatment
ADM-000083,685-47-1659,DR-0144,HOSP-003,2022-09-18,2022-10-07,Food Poisoning,General Medicine,19,Long Treatment
ADM-000084,105-59-3893,DR-0303,HOSP-002,2023-06-11,2023-06-30,Spinal Disc Herniation,Orthopedics,19,Long Treatment
ADM-000085,462-20-4644,DR-0064,HOSP-006,2022-08-02,2022-08-26,Measles,Pediatrics,24,Long Treatment
ADM-000086,928-24-6417,DR-0202,HOSP-005,2022-06-16,2022-06-27,Spinal Disc Herniation,Orthopedics,11,Medium Treatment
ADM-000087,230-50-7229,DR-0198,HOSP-006,2022-09-10,2022-09-21,Pneumonia,General Medicine,11,Medium Treatment
ADM-000088,956-69-2534,DR-0238,HOSP-004,2023-10-13,2023-11-06,Coronary Artery Disease,Cardiology,24,Long Treatment
ADM-000089,349-69-1278,DR-0108,HOSP-007,2023-08-08,2023-08-19,Stroke,Neurology,11,Medium Treatment
ADM-000090,326-41-1322,DR-0250,HOSP-008,2022-11-19,2022-11-28,Stroke,Neurology,9,Medium Treatment
ADM-000091,860-58-3663,DR-0111,HOSP-007,2022-10-26,2022-11-03,Alzheimers,Neurology,8,Medium Treatment
ADM-000092,708-92-3781,DR-0189,HOSP-007,2022-02-25,2022-03-07,Chickenpox,Pediatrics,10,Medium Treatment
ADM-000093,918-82-8243,DR-0045,HOSP-004,2023-07-15,2023-07-31,Arrhythmia,Cardiology,16,Long Treatment
ADM-000094,998-19-6014,DR-0049,HOSP-008,2022-10-21,2022-10-29,Depression,Psychiatry,8,Medium Treatment
ADM-000095,901-93-1202,DR-0102,HOSP-006,2023-07-08,2023-07-25,Measles,Pediatrics,17,Long Treatment
ADM-000096,637-48-3867,DR-0147,HOSP-010,2023-07-26,2023-08-20,PCOS,Gynecology,25,Long Treatment
ADM-000097,532-64-7799,DR-0087,HOSP-008,2024-01-19,2024-01-21,Alzheimers,Neurology,2,Short Treatment
ADM-000098,293-91-9162,DR-0107,HOSP-007,2024-05-21,2024-05-30,Viral Fever,General Medicine,9,Medium Treatment
ADM-000099,148-21-3466,DR-0109,HOSP-001,2022-11-02,2022-11-12,Psoriasis,Dermatology,10,Medium Treatment
ADM-000100,154-76-3945,DR-0134,HOSP-004,2023-01-07,2023-01-31,Leukemia,Oncology,24,Long Treatment
ADM-000101,724-80-6267,DR-0182,HOSP-009,2023-08-05,2023-08-27,Bronchitis,Pediatrics,22,Long Treatment
ADM-000102,290-97-7227,DR-0304,HOSP-005,2023-08-16,2023-08-23,Anxiety Disorder,Psychiatry,7,Medium Treatment
ADM-000103,686-43-3734,DR-0059,HOSP-006,2024-03-10,2024-03-26,Spinal Disc Herniation,Orthopedics,16,Long Treatment
ADM-000104,380-56-6212,DR-0290,HOSP-007,2023-12-18,2024-01-03,Eczema,Dermatology,16,Long Treatment
ADM-000105,786-88-9078,DR-0347,HOSP-002,2022-04-14,2022-04-25,Spinal Disc Herniation,Orthopedics,11,Medium Treatment
ADM-000106,721-73-2979,DR-0022,HOSP-007,2022-01-18,2022-02-04,Eczema,Dermatology,17,Long Treatment
ADM-000107,272-99-7060,DR-0163,HOSP-007,2023-03-15,2023-03-22,Dengue,General Medicine,7,Medium Treatment
ADM-000108,262-55-1763,DR-0211,HOSP-007,2022-12-14,2022-12-31,Schizophrenia,Psychiatry,17,Long Treatment
ADM-000109,267-46-3608,DR-0258,HOSP-006,2022-12-07,2022-12-16,Melanoma,Dermatology,9,Medium Treatment
ADM-000110,809-40-2017,DR-0172,HOSP-005,2022-01-07,2022-01-28,Pneumonia,General Medicine,21,Long Treatment
ADM-000111,926-10-9084,DR-0020,HOSP-006,2023-12-25,2024-01-16,Psoriasis,Dermatology,22,Long Treatment
ADM-000112,316-12-7929,DR-0173,HOSP-009,2023-09-10,2023-09-23,Measles,Pediatrics,13,Medium Treatment
ADM-000113,266-28-6604,DR-0190,HOSP-006,2022-09-02,2022-09-18,Viral Fever,General Medicine,16,Long Treatment
ADM-000114,303-78-7092,DR-0189,HOSP-007,2024-05-16,2024-05-25,Bronchitis,Pediatrics,9,Medium Treatment
ADM-000115,403-43-8606,DR-0097,HOSP-005,2023-02-25,2023-03-21,Coronary Artery Disease,Cardiology,24,Long Treatment
ADM-000116,320-92-4125,DR-0081,HOSP-005,2022-03-05,2022-03-25,Melanoma,Dermatology,20,Long Treatment
ADM-000117,895-50-6061,DR-0232,HOSP-003,2024-05-30,2024-06-12,Ovarian Cyst,Gynecology,13,Medium Treatment
ADM-000118,512-28-7581,DR-0105,HOSP-003,2022-11-17,2022-11-19,Schizophrenia,Psychiatry,2,Short Treatment
ADM-000119,721-21-5612,DR-0056,HOSP-007,2022-04-11,2022-04-28,Migraine,Neurology,17,Long Treatment
ADM-000120,935-62-4487,DR-0012,HOSP-001,2022-10-11,2022-10-21,Eczema,Dermatology,10,Medium Treatment
ADM-000121,738-99-5193,DR-0114,HOSP-009,2022-07-06,2022-07-21,Pneumonia,General Medicine,15,Long Treatment
ADM-000122,142-29-1602,DR-0082,HOSP-005,2023-01-07,2023-01-16,Bipolar Disorder,Psychiatry,9,Medium Treatment
ADM-000123,416-81-2308,DR-0147,HOSP-010,2023-11-24,2023-11-26,Pregnancy,Gynecology,2,Short Treatment
ADM-000124,633-96-8958,DR-0054,HOSP-007,2022-10-10,2022-10-16,Dengue,General Medicine,6,Medium Treatment
ADM-000125,102-72-5609,DR-0325,HOSP-003,2022-12-14,2022-12-15,Psoriasis,Dermatology,1,Short Treatment
ADM-000126,717-71-6476,DR-0021,HOSP-004,2023-10-07,2023-10-14,Myocardial Infarction,Cardiology,7,Medium Treatment
ADM-000127,772-49-2092,DR-0188,HOSP-008,2023-08-13,2023-08-21,Bronchitis,Pediatrics,8,Medium Treatment
ADM-000128,839-91-6496,DR-0208,HOSP-003,2023-07-11,2023-07-19,Hypertension,Cardiology,8,Medium Treatment
ADM-000129,243-29-2675,DR-0134,HOSP-004,2022-02-06,2022-02-11,Leukemia,Oncology,5,Medium Treatment
ADM-000130,382-78-1306,DR-0315,HOSP-008,2022-05-07,2022-05-08,Breast Cancer,Oncology,1,Short Treatment
ADM-000131,645-55-7557,DR-0090,HOSP-009,2022-12-21,2022-12-31,Depression,Psychiatry,10,Medium Treatment
ADM-000132,475-16-7050,DR-0279,HOSP-010,2023-10-06,2023-10-27,Spinal Disc Herniation,Orthopedics,21,Long Treatment
ADM-000133,543-94-5072,DR-0101,HOSP-002,2023-02-03,2023-02-04,Ligament Tear,Orthopedics,1,Short Treatment
ADM-000134,911-77-4769,DR-0054,HOSP-007,2023-01-04,2023-01-11,Pneumonia,General Medicine,7,Medium Treatment
ADM-000135,489-45-8428,DR-0113,HOSP-002,2023-10-12,2023-10-31,Lung Cancer,Oncology,19,Long Treatment
ADM-000136,208-82-2654,DR-0128,HOSP-009,2022-01-22,2022-02-11,Food Poisoning,General Medicine,20,Long Treatment
ADM-000137,441-57-2937,DR-0121,HOSP-008,2023-02-25,2023-03-11,Psoriasis,Dermatology,14,Medium Treatment
ADM-000138,637-31-7567,DR-0018,HOSP-002,2022-11-14,2022-12-04,Viral Fever,General Medicine,20,Long Treatment
ADM-000139,923-40-4706,DR-0298,HOSP-003,2023-03-02,2023-03-15,Leukemia,Oncology,13,Medium Treatment
ADM-000140,530-40-7357,DR-0213,HOSP-001,2023-01-18,2023-02-11,Breast Cancer,Oncology,24,Long Treatment
ADM-000141,664-99-6439,DR-0122,HOSP-002,2023-05-20,2023-06-04,Chickenpox,Pediatrics,15,Long Treatment
ADM-000142,736-44-2522,DR-0176,HOSP-002,2024-05-20,2024-06-13,Eczema,Dermatology,24,Long Treatment
ADM-000143,241-88-9247,DR-0141,HOSP-007,2022-09-25,2022-10-07,Breast Cancer,Oncology,12,Medium Treatment
ADM-000144,402-25-4392,DR-0284,HOSP-005,2023-10-15,2023-10-25,Diabetes,General Medicine,10,Medium Treatment
ADM-000145,105-61-1906,DR-0270,HOSP-004,2023-03-03,2023-03-09,Arrhythmia,Cardiology,6,Medium Treatment
ADM-000146,751-85-3991,DR-0222,HOSP-003,2022-07-17,2022-07-20,Lung Cancer,Oncology,3,Short Treatment
ADM-000147,877-77-9154,DR-0120,HOSP-005,2022-03-17,2022-04-09,Anxiety Disorder,Psychiatry,23,Long Treatment
ADM-000148,233-59-4560,DR-0227,HOSP-006,2023-12-04,2023-12-07,Leukemia,Oncology,3,Short Treatment
ADM-000149,100-13-1819,DR-0303,HOSP-002,2023-07-23,2023-07-27,Fracture,Orthopedics,4,Short Treatment
ADM-000150,970-21-5780,DR-0309,HOSP-002,2023-11-30,2023-12-02,Diabetes,General Medicine,2,Short Treatment
ADM-000151,716-75-7576,DR-0233,HOSP-006,2023-07-10,2023-07-26,Myocardial Infarction,Cardiology,16,Long Treatment
ADM-000152,446-28-4224,DR-0169,HOSP-001,2022-07-15,2022-08-08,Coronary Artery Disease,Cardiology,24,Long Treatment
ADM-000153,992-86-4638,DR-0040,HOSP-004,2022-01-27,2022-01-29,PCOS,Gynecology,2,Short Treatment
ADM-000154,646-94-5711,DR-0022,HOSP-007,2024-01-29,2024-02-14,Eczema,Dermatology,16,Long Treatment
ADM-000155,596-12-1063,DR-0163,HOSP-007,2024-05-29,2024-06-17,Food Poisoning,General Medicine,19,Long Treatment
ADM-000156,562-16-6554,DR-0230,HOSP-010,2023-07-20,2023-08-14,Lymphoma,Oncology,25,Long Treatment
ADM-000157,741-69-7978,DR-0077,HOSP-002,2022-01-12,2022-02-04,Myocardial Infarction,Cardiology,23,Long Treatment
ADM-000158,700-66-5615,DR-0009,HOSP-005,2023-01-30,2023-02-13,Melanoma,Dermatology,14,Medium Treatment
ADM-000159,504-41-3675,DR-0336,HOSP-008,2022-07-24,2022-07-31,Stroke,Neurology,7,Medium Treatment
ADM-000160,911-50-8397,DR-0077,HOSP-002,2023-03-20,2023-03-31,Heart Failure,Cardiology,11,Medium Treatment
ADM-000161,502-53-3667,DR-0146,HOSP-006,2023-09-04,2023-09-22,Arthritis,Orthopedics,18,Long Treatment
ADM-000162,582-43-7892,DR-0309,HOSP-002,2022-08-19,2022-09-06,Viral Fever,General Medicine,18,Long Treatment
ADM-000163,197-27-2423,DR-0073,HOSP-006,2023-11-11,2023-11-17,Ligament Tear,Orthopedics,6,Medium Treatment
ADM-000164,857-39-6486,DR-0136,HOSP-006,2022-05-24,2022-06-03,Pregnancy,Gynecology,10,Medium Treatment
ADM-000165,868-15-4375,DR-0331,HOSP-001,2022-04-21,2022-04-30,Leukemia,Oncology,9,Medium Treatment
ADM-000166,494-22-1711,DR-0299,HOSP-001,2023-01-04,2023-01-14,Migraine,Neurology,10,Medium Treatment
ADM-000167,904-45-4731,DR-0128,HOSP-009,2023-09-03,2023-09-11,Pneumonia,General Medicine,8,Medium Treatment
ADM-000168,574-25-8709,DR-0092,HOSP-009,2023-01-21,2023-02-10,Endometriosis,Gynecology,20,Long Treatment
ADM-000169,470-92-5979,DR-0160,HOSP-005,2023-05-05,2023-05-27,Arthritis,Orthopedics,22,Long Treatment
ADM-000170,739-91-9984,DR-0275,HOSP-007,2023-06-12,2023-06-22,Psoriasis,Dermatology,10,Medium Treatment
ADM-000171,317-15-6651,DR-0263,HOSP-004,2023-08-30,2023-09-10,Arthritis,Orthopedics,11,Medium Treatment
ADM-000172,916-37-9240,DR-0152,HOSP-008,2024-05-27,2024-06-12,Arrhythmia,Cardiology,16,Long Treatment
ADM-000173,650-64-8401,DR-0279,HOSP-010,2023-01-12,2023-02-05,Fracture,Orthopedics,24,Long Treatment
ADM-000174,994-15-6333,DR-0135,HOSP-004,2022-04-03,2022-04-14,Arthritis,Orthopedics,11,Medium Treatment
ADM-000175,814-79-3900,DR-0104,HOSP-001,2023-11-14,2023-11-26,Schizophrenia,Psychiatry,12,Medium Treatment
ADM-000176,923-40-4706,DR-0168,HOSP-003,2023-08-08,2023-08-22,Arrhythmia,Cardiology,14,Medium Treatment
ADM-000177,563-99-3484,DR-0335,HOSP-007,2022-01-19,2022-01-21,Anxiety Disorder,Psychiatry,2,Short Treatment
ADM-000178,806-36-9007,DR-0079,HOSP-010,2022-07-06,2022-07-14,Leukemia,Oncology,8,Medium Treatment
ADM-000179,602-77-2151,DR-0200,HOSP-002,2022-06-16,2022-06-17,Depression,Psychiatry,1,Short Treatment
ADM-000180,117-45-5949,DR-0201,HOSP-003,2024-01-08,2024-01-28,Arrhythmia,Cardiology,20,Long Treatment
ADM-000181,212-67-4482,DR-0101,HOSP-002,2023-01-24,2023-02-15,Ligament Tear,Orthopedics,22,Long Treatment
ADM-000182,554-27-7549,DR-0244,HOSP-010,2022-03-03,2022-03-07,Food Poisoning,General Medicine,4,Short Treatment
ADM-000183,832-70-4206,DR-0278,HOSP-006,2022-08-23,2022-09-09,Pneumonia,General Medicine,17,Long Treatment
ADM-000184,426-52-6294,DR-0149,HOSP-001,2022-11-28,2022-12-21,Epilepsy,Neurology,23,Long Treatment
ADM-000185,264-33-2940,DR-0014,HOSP-008,2023-01-08,2023-01-20,Depression,Psychiatry,12,Medium Treatment
ADM-000186,801-19-7336,DR-0022,HOSP-007,2022-12-20,2022-12-24,Eczema,Dermatology,4,Short Treatment
ADM-000187,215-55-7998,DR-0161,HOSP-006,2024-04-25,2024-05-18,Bipolar Disorder,Psychiatry,23,Long Treatment
ADM-000188,402-44-5936,DR-0078,HOSP-007,2024-05-18,2024-06-09,Acne Vulgaris,Dermatology,22,Long Treatment
ADM-000189,913-25-1704,DR-0114,HOSP-009,2022-04-04,2022-04-14,Diabetes,General Medicine,10,Medium Treatment
ADM-000190,180-64-2013,DR-0251,HOSP-007,2023-01-31,2023-02-14,Arthritis,Orthopedics,14,Medium Treatment
ADM-000191,215-55-7998,DR-0214,HOSP-003,2022-10-30,2022-11-09,Ovarian Cyst,Gynecology,10,Medium Treatment
ADM-000192,776-47-6021,DR-0218,HOSP-002,2023-02-26,2023-03-14,Ligament Tear,Orthopedics,16,Long Treatment
ADM-000193,820-95-1180,DR-0213,HOSP-001,2024-02-20,2024-03-14,Leukemia,Oncology,23,Long Treatment
ADM-000194,296-98-5087,DR-0143,HOSP-004,2024-04-27,2024-05-06,Asthma,Pediatrics,9,Medium Treatment
ADM-000195,912-84-1769,DR-0203,HOSP-010,2022-03-30,2022-03-31,Pregnancy,Gynecology,1,Short Treatment
ADM-000196,635-98-2560,DR-0268,HOSP-010,2022-02-24,2022-03-17,Anxiety Disorder,Psychiatry,21,Long Treatment
ADM-000197,160-40-1472,DR-0006,HOSP-007,2023-10-22,2023-11-04,Hypertension,Cardiology,13,Medium Treatment
ADM-000198,507-16-4162,DR-0032,HOSP-008,2023-09-25,2023-09-29,Psoriasis,Dermatology,4,Short Treatment
ADM-000199,456-47-6606,DR-0280,HOSP-008,2022-11-26,2022-12-18,Tonsillitis,Pediatrics,22,Long Treatment
ADM-000200,923-27-2989,DR-0247,HOSP-007,2023-05-04,2023-05-13,Tonsillitis,Pediatrics,9,Medium Treatment
ADM-000201,396-80-2002,DR-0145,HOSP-003,2023-08-30,2023-09-11,Bronchitis,Pediatrics,12,Medium Treatment
ADM-000202,112-96-2445,DR-0253,HOSP-010,2022-09-30,2022-10-05,Schizophrenia,Psychiatry,5,Medium Treatment
ADM-000203,312-98-1780,DR-0098,HOSP-001,2022-06-03,2022-06-19,Spinal Disc Herniation,Orthopedics,16,Long Treatment
ADM-000204,990-94-5856,DR-0088,HOSP-004,2024-02-02,2024-02-09,Depression,Psychiatry,7,Medium Treatment
ADM-000205,667-11-6981,DR-0153,HOSP-005,2023-03-30,2023-04-15,Eczema,Dermatology,16,Long Treatment
ADM-000206,307-94-2315,DR-0124,HOSP-003,2022-01-07,2022-01-19,Psoriasis,Dermatology,12,Medium Treatment
ADM-000207,361-91-8012,DR-0319,HOSP-007,2023-03-29,2023-04-04,Melanoma,Dermatology,6,Medium Treatment
ADM-000208,921-18-7952,DR-0279,HOSP-010,2023-02-24,2023-03-08,Ligament Tear,Orthopedics,12,Medium Treatment
ADM-000209,155-32-5127,DR-0086,HOSP-007,2022-08-18,2022-08-25,Bipolar Disorder,Psychiatry,7,Medium Treatment
ADM-000210,448-65-3609,DR-0173,HOSP-009,2022-07-22,2022-07-31,Chickenpox,Pediatrics,9,Medium Treatment
ADM-000211,736-46-6397,DR-0076,HOSP-008,2024-05-18,2024-05-28,Pregnancy,Gynecology,10,Medium Treatment
ADM-000212,887-53-8331,DR-0337,HOSP-008,2023-09-25,2023-09-27,Stroke,Neurology,2,Short Treatment
ADM-000213,115-23-5849,DR-0125,HOSP-006,2024-02-18,2024-03-14,Heart Failure,Cardiology,25,Long Treatment
ADM-000214,433-31-6119,DR-0027,HOSP-004,2022-01-26,2022-02-01,Pneumonia,General Medicine,6,Medium Treatment
ADM-000215,888-11-9476,DR-0301,HOSP-003,2022-07-01,2022-07-02,Viral Fever,General Medicine,1,Short Treatment
ADM-000216,504-87-9670,DR-0001,HOSP-002,2024-04-02,2024-04-07,Lymphoma,Oncology,5,Medium Treatment
ADM-000217,738-28-8216,DR-0037,HOSP-004,2023-04-19,2023-05-02,Eczema,Dermatology,13,Medium Treatment
ADM-000218,123-75-3726,DR-0244,HOSP-010,2023-02-03,2023-02-16,Diabetes,General Medicine,13,Medium Treatment
